CouncilDistrictCode,Neighborhood,YearBuilt_20,YearBuilt_10,NumberofFloors,NumberOfPropertyUseTypes,PropertyGFATotal,OfficeRatio,OtherRatio,ParkingRatio,RecreationRatio,ResidenceRatio,RestaurantRatio,SchoolRatio,StoreRatio,WarehouseRatio,ENERGYSTARScore,ElectricityRatio,SteamUseRatio,SiteEUI,SiteEnergyUse,TotalGHGEmissions,GHGEmissionsIntensity,SiteEUI_bins,GHGEmissionsIntensity_bins
7,DOWNTOWN,2000,2000,10,1,171866.0,0.0,0.0,0.0,0.0,0.7500552756217053,0.0,0.0,0.0,0.0,57.0,0.507209239339731,0.0,85.80000305,11061916.0,328.63,1.91,"(8141155.5, 14453105.0]","(1.51, 2.17]"
7,DOWNTOWN,1960,1970,5,1,68410.0,0.0,0.0,0.0,0.0,0.7015640988159626,0.0,0.0,0.0,0.0,57.0,0.5264750524180986,0.0,92.90000153,4456714.5,128.44,1.88,"(3518459.5, 5236178.25]","(1.51, 2.17]"
4,LAKE UNION,1900,1900,3,4,87262.0,0.46919621370126746,0.0,0.0,0.04935710847791708,0.0,0.0,0.20802869519378422,0.0,0.0,,0.3263070288009623,0.0,61.5,4145920.5,157.77,1.81,"(3518459.5, 5236178.25]","(1.51, 2.17]"
4,NORTHEAST,1980,1990,4,1,81871.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.45233081132779845,0.0,81.5,6668568.5,215.0,2.63,"(5236178.25, 8141155.5]","(2.17, 3.565]"
4,NORTHEAST,1940,1950,2,1,110356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2376400014498532,,0.8834676099765265,0.0,12.10000038,318364.8125,3.93,0.04,"(57133.198000000004, 671256.594]","(0.009000000000000001, 0.19]"
2,GREATER DUWAMISH,1960,1960,2,3,963000.0,0.07372793354101766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9262720664589823,,0.9999998435095356,0.0,46.40000153,44731160.0,311.84,0.44,"(14453105.0, 48406556.0]","(0.42, 0.6]"
7,MAGNOLIA / QUEEN ANNE,1980,1990,2,1,54986.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.7378078588820649,0.0,30.0,1650279.25,31.47,0.57,"(1377878.625, 1841154.25]","(0.42, 0.6]"
6,BALLARD,1960,1960,2,2,94900.0,0.5857323498419389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4142676501580611,57.0,0.6937059254308784,0.0,65.19999695,6186461.5,130.56,1.38,"(5236178.25, 8141155.5]","(1.17, 1.51]"
2,GREATER DUWAMISH,1900,1900,2,2,58878.0,0.8666904446482557,0.0,0.0,0.0,0.0,0.0,0.1333095553517443,0.0,0.0,83.0,0.5352665852062523,0.0,50.09999847,2951331.25,83.86,1.6,"(2502106.0, 3518459.5]","(1.51, 2.17]"
6,NORTHWEST,1940,1950,3,1,175015.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,95.0,0.3831077078556381,0.0,40.0,6994740.5,247.85,1.42,"(5236178.25, 8141155.5]","(1.17, 1.51]"
